id;name;slug;extract;body;status;user_id;category_id
1;PHP no esta muerto esta de parranda.;php-no-esta-muerto-esta-de-parranda;Lorem ipsum morbi nec metus. Morbi nec metus. ;Suspendisse enim turpis, dictum sed, iaculis a, condimentum nec, nisi. Curabitur ullamcorper ultricies nisi. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.;2;1;1
2;Comoce el stack de  desarrollo T.A.L.L;comoce-el-stack-de-desarrollo-tall;Lorem ipsum morbi nec metus. Morbi nec metus. ;Suspendisse enim turpis, dictum sed, iaculis a, condimentum nec, nisi. Curabitur ullamcorper ultricies nisi. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.;2;2;1
3;¿Como alinear verticalmente con TailwindCSS?;como-alinear-verticalmente-con-tailwindcss;Lorem ipsum morbi nec metus. Morbi nec metus. ;Suspendisse enim turpis, dictum sed, iaculis a, condimentum nec, nisi. Curabitur ullamcorper ultricies nisi. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.;2;2;5
4;¿Como hacer testing basico a una api?;como-hacer-testing-basico-a-una-api;Lorem ipsum morbi nec metus. Morbi nec metus. ;Suspendisse enim turpis, dictum sed, iaculis a, condimentum nec, nisi. Curabitur ullamcorper ultricies nisi. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.;2;2;1
5;Consejos basico de finanzas personales;consejos-basico-de-finanzas-personales;Lorem ipsum morbi nec metus. Morbi nec metus. ;Suspendisse enim turpis, dictum sed, iaculis a, condimentum nec, nisi. Curabitur ullamcorper ultricies nisi. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.;2;3;2
6;¿Que es el la inteligencia articial?;que-es-el-la-inteligencia-articial;Lorem ipsum morbi nec metus. Morbi nec metus. ;Suspendisse enim turpis, dictum sed, iaculis a, condimentum nec, nisi. Curabitur ullamcorper ultricies nisi. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.;2;3;4
7;¿Como la inteligencia artificial influye en el marketing?;como-la-inteligencia-artificial-influye-en-el-marketing;Lorem ipsum morbi nec metus. Morbi nec metus. ;Suspendisse enim turpis, dictum sed, iaculis a, condimentum nec, nisi. Curabitur ullamcorper ultricies nisi. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.;2;3;4
8;5 consejos para dormir mejor;5-consejos-para-dormir-mejor;Lorem ipsum morbi nec metus. Morbi nec metus. ;Suspendisse enim turpis, dictum sed, iaculis a, condimentum nec, nisi. Curabitur ullamcorper ultricies nisi. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.;2;3;3
9;Conoce los primeros 5 pilares del éxito de Jim Rohn;conoce-los-primeros-5-pilares-del-éxito- de-jim-rohn;Lorem ipsum morbi nec metus. Morbi nec metus. ;Suspendisse enim turpis, dictum sed, iaculis a, condimentum nec, nisi. Curabitur ullamcorper ultricies nisi. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.;2;3;3
10;¿Cómo buscar empleo como desarrollador?;como-buscar-empleo-como-desarrollador;Lorem ipsum morbi nec metus. Morbi nec metus. ;Suspendisse enim turpis, dictum sed, iaculis a, condimentum nec, nisi. Curabitur ullamcorper ultricies nisi. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.;2;3;1
